release_year_id,release_year
1,2021
2,2020
3,2019
4,2018
5,2017
6,2016
7,2015
8,2014
9,2013
10,2012
11,2011
12,2010
13,2009
14,2008
15,2007
16,2006
17,2005
18,2004
19,2003
20,2002
21,2001
22,2000
23,1999
24,1998
25,1997
26,1996
27,1995
28,1994
29,1993
30,1992
31,1991
32,1990
33,1989
34,1988
35,1987
36,1986
37,1985
38,1984
39,1983
40,1982
41,1981
42,1980
43,1979
44,1978
45,1977
46,1976
47,1975
48,1974
49,1973
50,1972
51,1971
52,1970
53,1969
54,1968
55,1967
56,1966
57,1965
58,1964
59,1963
60,1962
61,1961
62,1960
63,1959
64,1958
65,1957
66,1956
67,1955
68,1954
69,1953
70,1952
71,1951
72,1950
73,1949
74,1948
75,1947
76,1946
77,1945
78,1944
79,1943
80,1942
81,1941
82,1940
83,1939
84,1938
85,1937
86,1936
87,1935
88,1934
89,1933
90,1932
91,1931
92,1930
93,1929
94,1928
95,1927
96,1926
97,1925
98,1924
99,1923
100,1922
101,1920
