country_id,country
1,
2,Afghanistan
3,Argentina
4,Australia
5,Austria
6,Bangladesh
7,Belarus
8,Belgium
9,Brazil
10,Bulgaria
11,Cambodia
12,Cameroon
13,Canada
14,Chile
15,China
16,Colombia
17,Croatia
18,Cyprus
19,Czech Republic
20,Denmark
21,Egypt
22,Finland
23,France
24,Georgia
25,Germany
26,Ghana
27,Greece
28,Guatemala
29,Hong Kong
30,Hungary
31,Iceland
32,India
33,Indonesia
34,Iran
35,Ireland
36,Israel
37,Italy
38,Jamaica
39,Japan
40,Jordan
41,Kenya
42,Kosovo
43,Kuwait
44,Lebanon
45,Luxembourg
46,Malaysia
47,Mauritius
48,Mexico
49,Mozambique
50,Namibia
51,Netherlands
52,New Zealand
53,Nigeria
54,Norway
55,Pakistan
56,Paraguay
57,Peru
58,Philippines
59,Poland
60,Portugal
61,Puerto Rico
62,Romania
63,Russia
64,Saudi Arabia
65,Senegal
66,Serbia
67,Singapore
68,Slovenia
69,Somalia
70,South Africa
71,South Korea
72,Soviet Union
73,Spain
74,Sweden
75,Switzerland
76,Syria
77,Taiwan
78,Tanzania
79,Thailand
80,Turkey
81,Ukraine
82,United Arab Emirates
83,United Kingdom
84,United States
85,Uruguay
86,Venezuela
87,Vietnam
88,West Germany
89,Zimbabwe
90,nan
